Shares/ PrincipalAmount ($),Security,AcquisitionDate,Cost,Fair Value
"60,250",Chime Financial Inc.(a),12/30/21,$,"5,150,748",$,"1,516,493"
"36,924",Klarna Group PLC(a)(c),03/16/22,"4,657,660","1,067,473"
"36,924",Klarna Group PLC Class B Shares(a)(b)(c),09/10/25,—,—
Total Common Stocks,"9,808,408","2,583,966"
"106,136","ClassDojo, Inc.(a)(b)(c)",11/19/21,"3,000,018","2,440,067"
"114,000","Redwood Materials, Inc.(a)(b)(c)",12/26/25,"5,116,320","5,016,000"
"88,885","Automation Anywhere, Inc.(a)(b)(c)",12/30/21,"2,609,219","341,318"
"82,720","SuperHuman Platform, Inc.(a)(b)(c)",06/25/21,"1,965,472","1,416,993"
"90,952","CElegans Labs, Inc.(a)(b)(c)",11/23/21,"2,999,977","1,603,484"
"55,555","Public Holdings, Inc.(a)(b)(c)",07/22/21,"999,990","364,996"
"8,200",Revolut Group Holdings Ltd.(a)(b)(c),12/08/21,"5,275,185","12,438,334"
"1,069","Discord, Inc.(a)(b)(c)",03/01/22,"724,942","296,156"
"26,000","Flexport, Inc.(a)(b)(c)",03/29/22,"520,000","82,420"
Total Common Stocks,"23,211,123","23,999,768"
"153,957","Skild AI, Inc. - Series C Preferred Stock(a)(b)(c)",12/18/25,"10,200,019","9,999,954"
"8,879","Axiom Space, Inc. Series C Preferred Stock(a)(b)(c)",01/18/23,"1,499,929","1,143,082"
"21,517","Axiom Space, Inc. Series C-1 Preferred Stock(a)(b)(c)",12/22/21,"3,179,754","2,636,693"
"546,093","Boom Technology, Inc. Series B-2 Preferred Stock(a)(b)(c)",12/01/25,"2,000,000","1,567,287"
"2,493,143","Vast, Inc. - Series A Preferred Stock(a)(b)(c)",12/01/25,"4,999,998","4,999,998"
Shares/ PrincipalAmount ($),Security,AcquisitionDate,Cost,Fair Value
"176,886","Jeeves, Inc. - Series C Preferred Stock(a)(b)(c)",04/05/22,$,"749,997",$,"449,290"
"102,606","Payward, Inc. - Series C Preferred Stock(a)(b)(c)",09/17/25,"4,999,990","6,307,191"
"52,000","Impossible Foods, Inc. - Series A Preferred Stock(a)(b)(c)",06/17/22,"1,272,986","88,920"
